Year,Sex,Age_band,Population
2013,Persons,0-4,291952
2013,Persons,10-14,279106
2013,Persons,15-19,310922
2013,Persons,20-24,360717
2013,Persons,25-29,346430
2013,Persons,30-34,338381
2013,Persons,35-39,314429
2013,Persons,40-44,375704
2013,Persons,45-49,409983
2013,Persons,5-9,281619
2013,Persons,50-54,393978
2013,Persons,55-59,348157
2013,Persons,60-64,318492
2013,Persons,65-69,297901
2013,Persons,70-74,225204
2013,Persons,75-79,183421
2013,Persons,80+,240904
2014,Persons,0-4,289052
2014,Persons,10-14,277617
2014,Persons,15-19,304979
2014,Persons,20-24,356168
2014,Persons,25-29,347944
2014,Persons,30-34,339777
2014,Persons,35-39,315000
2014,Persons,40-44,362812
2014,Persons,45-49,406739
2014,Persons,5-9,286418
2014,Persons,50-54,401138
2014,Persons,55-59,357278
2014,Persons,60-64,317622
2014,Persons,65-69,306604
2014,Persons,70-74,230201
2014,Persons,75-79,186208
2014,Persons,80+,246643
2015,Persons,0-4,285845
2015,Persons,10-14,276630
2015,Persons,15-19,303295
2015,Persons,20-24,353871
2015,Persons,25-29,349622
2015,Persons,30-34,342193
2015,Persons,35-39,319082
2015,Persons,40-44,351460
2015,Persons,45-49,399813
2015,Persons,5-9,291157
2015,Persons,50-54,408365
2015,Persons,55-59,366157
2015,Persons,60-64,319723
2015,Persons,65-69,314288
2015,Persons,70-74,233118
2015,Persons,75-79,187259
2015,Persons,80+,249822
2016,Persons,0-4,283137
2016,Persons,10-14,278268
2016,Persons,15-19,301844
2016,Persons,20-24,348988
2016,Persons,25-29,354474
2016,Persons,30-34,343055
2016,Persons,35-39,325165
2016,Persons,40-44,338553
2016,Persons,45-49,396176
2016,Persons,5-9,295413
2016,Persons,50-54,410520
2016,Persons,55-59,374128
2016,Persons,60-64,324652
2016,Persons,65-69,319168
2016,Persons,70-74,240089
2016,Persons,75-79,186324
2016,Persons,80+,254946
2017,Persons,0-4,277514
2017,Persons,10-14,281845
2017,Persons,15-19,299195
2017,Persons,20-24,342777
2017,Persons,25-29,356802
2017,Persons,30-34,343610
2017,Persons,35-39,334401
2017,Persons,40-44,325752
2017,Persons,45-49,388669
2017,Persons,5-9,297715
2017,Persons,50-54,411719
2017,Persons,55-59,382575
2017,Persons,60-64,332482
2017,Persons,65-69,307270
2017,Persons,70-74,260457
2017,Persons,75-79,188259
2017,Persons,80+,258858
2018,Persons,0-4,271671
2018,Persons,10-14,285711
2018,Persons,15-19,299075
2018,Persons,20-24,336968
2018,Persons,25-29,353239
2018,Persons,30-34,347022
2018,Persons,35-39,341212
2018,Persons,40-44,317444
2018,Persons,45-49,377316
2018,Persons,5-9,296116
2018,Persons,50-54,409844
2018,Persons,55-59,389748
2018,Persons,60-64,340248
2018,Persons,65-69,303126
2018,Persons,70-74,271769
2018,Persons,75-79,191561
2018,Persons,80+,262230
2019,Persons,0-4,267283
2019,Persons,10-14,291127
2019,Persons,15-19,298655
2019,Persons,20-24,334777
2019,Persons,25-29,351061
2019,Persons,30-34,350438
2019,Persons,35-39,343178
2019,Persons,40-44,318287
